Public ID,Genes,Types,Name,Known,sch9/wt,ras2/wt,tor1/wt
YFR010W,UBP6,Candidate Gene,YFR010W/UBP6,0,0.1556491,-0.4880185,0.07698462
YPL254W,HFI1,Candidate Gene,YPL254W/HFI1,0,0.05905491,0.2101467,-0.1090477
YDR191W,HST4,Candidate Gene,YDR191W/HST4,0,0.5468464,0.7314741,0.3387958
YDR264C,AKR1,Candidate Gene,YDR264C/AKR1,0,0.1897815,0.1657417,0.1301702
YNL148C,ALF1,Candidate Gene,YNL148C/ALF1,0,0.3507553,0.2453944,0.3308809
YPL120W,VPS30,Candidate Gene,YPL120W/VPS30,0,0.2700111,0.1998218,0.3487854
YLR268W,SEC22,Candidate Gene,YLR268W/SEC22,0,0.5011193,0.6050925,0.5622788
YKL015W,PUT3,Candidate Gene,YKL015W/PUT3,0,0.0173433,-0.6754868,-0.7210857
YCL037C,SRO9,Candidate Gene,YCL037C/SRO9,0,0.01512819,0.9660928,0.07661917
YKR026C,GCN3,Candidate Gene,YKR026C/GCN3,0,0.09773856,0.5938986,0.0981128
YKL017C,HCS1,Candidate Gene,YKL017C/HCS1,0,0.1866696,-0.3403223,0.005202552
YCR002C,CDC10,Candidate Gene,YCR002C/CDC10,0,-0.2811855,-0.4761917,-0.03376408
YBR260C,RGD1,Candidate Gene,YBR260C/RGD1,0,0.3462294,0.3508244,0.2091228
YDR456W,NHX1,Candidate Gene,YDR456W/NHX1,0,-0.06831068,0.2259221,0.02031336
YJL153C,INO1,Candidate Gene,YJL153C/INO1,0,-1.663467,-0.6599606,-0.323626
YPL084W,BRO1,Candidate Gene,YPL084W/BRO1,0,0.05055502,-0.2634265,0.03135144
YCL032W,STE50,Candidate Gene,YCL032W/STE50,0,-0.01622228,-0.6296826,0.2289929
YOR189W,IES4,Candidate Gene,YOR189W/IES4,0,-0.2088321,-0.794377,-0.01106639
YOR231W,MKK1,Candidate Gene,YOR231W/MKK1,0,-0.2654999,-0.471469,-0.4356629
YGL070C,RPB9,Candidate Gene,YGL070C/RPB9,0,-0.4303831,-0.7306955,-0.6423162
